"iata_code"	"icao_code"	"name_rus"	"city_rus"	"country_rus"	"latitude"	"longitude"	"tags"
"AAL"	"EKYT"	"Аальборг"	"Аальбург"	"Дания"	"57.092789"	"9.849164"	
"AAR"	"EKAH"		"Аарус"	"Дания"	"56.300017"	"10.619008"	
"AAH"	"EDKA"		"Аахен"	"Германия"	"50.823056"	"6.186111"	
"ABD"	"OIAA"	"Абадан"	"Абадан"	"Иран"	"30.371111"	"48.228333"	
"ABF"	"NGAB"	"Абайянг"	"Абайянг"	"Кирибати"	"1.798611"	"173.040556"	
"ABA"	"UNAA"	"Абакан"	"Абакан"	"Россия"	"53.740000"	"91.385000"	
"ABW"		"Абау"	"Абау"	"Папуа - Новая Гвинея"	"-10.200"	"148.733"	
"EAB"	"OYAB"	"Аббсе"	"Аббсе"	"Йемен"	"15.300"	"43.967"	
"AEA"	"NGTB"	"Абемама-Атолл"	"Абемама-Атолл"	"Кирибати"	"0.490833"	"173.828611"	
"ABJ"	"DIAP"		"Абиджан"	"Кот д'Ивуар"	"5.261386"	"-3.926294"	
"ABG"	"YABI"	"Абингдон"	"Абингдон"	"Австралия"	"-17.617"	"143.167"	
"ABB"	"EGUD"		"Абингдон"	"Великобритания"	"51.690556"	"-1.316667"	
"VJI"	"KVJI"		"Абингдон"	"Эквадор"	"36.687103"	"-82.033327"	
"AJS"		"Абреохос"	"Абреохос"	"Мексика"	"26.727222"	"-113.559444"	
"AUH"	"OMAA"	"Абу-Даби"	"Абу-Даби"	"ОАЭ"	"24.432972"	"54.651138"	
"AZI"	"OMAD"	"Батин"	"Абу-Даби"	"ОАЭ"	"24.428333"	"54.458084"	
"DHF"	"OMAM"		"Абу-Даби"	"ОАЭ"	"24.248249"	"54.547722"	
"AOD"		"Абу-Дейя"	"Абу-Дейя"	"Чад"	"11.467"	"19.283"	
"ABS"	"HEBL"	"Абу-Симбель"	"Абу-Симбель"	"Египет"	"22.375953"	"31.611722"	
"ABV"	"DNAA"		"Абуджа"	"Нигерия"	"9.006792"	"7.263172"	
